28.01.2022	Our website has gone online. Check out our [team](team.html) and an overview of all published [papers](publications.html). 
05.01.2022	The DFG-funded project on "Transposable elements as genetic innovators in the invasive ant *Cardiocondyla obscurior*" will start soon!
